0,1,2,3,4,5,6
งวดวันที่,รางวัลที่ 1,เลขหน้า 3 ตัว,เลขหน้า 3 ตัว,เลขท้าย 3 ตัว,เลขท้าย 3 ตัว,เลขท้าย 2 ตัว
2024-06-16,xxxxxx,xxx,xxx,xxx,xxx,xx
2009-06-16,930456,044,125,179,954,15
2009-06-01,777661,097,240,242,642,26
2009-05-16,111411,362,368,838,892,54
2009-05-02,294452,222,301,549,947,11
2009-04-16,368415,007,179,570,954,33
2009-04-01,816578,044,113,363,572,50
2009-03-16,268812,063,228,424,929,36
2009-03-01,553091,224,238,295,665,67
2009-02-16,038730,115,434,939,961,93
2009-02-01,534533,015,427,660,777,69
2009-01-16,743212,266,800,842,885,25
2008-12-30,218596,094,197,831,984,22
2008-12-16,074114,305,715,803,959,25
2008-12-01,205434,013,260,617,957,05
2008-11-16,002612,068,589,824,877,20
2008-11-01,272028,285,333,421,929,76
2008-10-16,431277,324,526,644,648,98
2008-10-01,882911,204,302,311,395,67
2008-09-16,012377,378,534,557,691,56
2008-09-01,695993,027,206,413,904,09
2008-08-16,380377,161,445,457,744,36
2008-08-01,850348,236,386,408,913,11
2008-07-16,257374,344,401,486,576,41
2008-07-01,943671,096,287,490,523,50
2008-06-16,729111,339,345,639,870,75
2008-06-01,414875,370,666,747,916,35
2008-05-16,329231,193,120,355,214,69
2008-05-02,453011,001,133,001,792,62
2008-04-16,982800,008,043,584,802,64
2008-04-01,012653,124,195,200,586,71
2008-03-16,074946,077,974,085,158,33
2008-03-01,936685,056,085,371,691,05
2008-02-16,137054,344,512,630,892,80
2008-02-01,212684,311,472,732,796,26
2008-01-16,556010,413,548,942,965,81
2007-12-30,595411,267,490,741,787,81
2007-12-16,513501,425,432,460,702,96
2007-11-16,562481,130,198,752,844,73
2007-11-01,927907,213,277,524,648,88
2007-10-16,032988,158,663,685,846,48
2007-10-01,430667,090,104,126,667,76
2007-09-16,499336,247,273,604,608,45
2007-09-01,331810,293,505,518,520,69
2007-08-16,476207,234,236,312,424,93
2007-08-01,429924,006,048,885,962,29
2007-07-16,527384,105,183,334,947,77
2007-07-01,565151,146,287,638,949,76
2007-06-16,393194,424,589,907,989,41
2007-06-01,836393,242,433,523,739,05
2007-05-16,232897,585,751,858,924,25
2007-05-02,430374,442,553,729,881,81
2007-04-16,405105,013,522,866,987,63
2007-04-01,622780,022,677,794,814,93
2007-03-16,876763,001,191,350,906,85
2007-03-01,742425,294,801,942,949,61
2007-02-16,277859,384,607,625,979,95
2007-02-01,769925,239,287,865,893,56
2007-01-16,838739,263,293,803,845,54
2006-12-30,778584,164,403,811,971,07
